,sold_date,sold_price,bed_room,bath_room,property_sqft,property_alot,address
0,"Sold - Oct 17, 2023","$275,000",4bed,2.5bath,"1,980sqft1,980 square feet",0.34acre lot0.34 acre lot,"1710 Lochmoor BlvdJackson, MI 49201"
1,"Sold - Aug 4, 2023","$46,200",2bed,1bath,920sqft920 square feet,"3,920sqft lot3,920 square foot lot","1402 E North StJackson, MI 49202"
2,"Sold - Nov 14, 2023","$161,000",3bed,1bath,"1,876sqft1,876 square feet",0.24acre lot0.24 acre lot,"333 N Bowen StJackson, MI 49202"
3,"Sold - Sep 18, 2023","$255,000",4bed,1bath,"1,508sqft1,508 square feet","6,970sqft lot6,970 square foot lot","508 Gilletts Lake RdJackson, MI 49201"
4,"Sold - Aug 18, 2023","$69,500$500",2bed,1bath,720sqft720 square feet,"4,356sqft lot4,356 square foot lot","506 Detroit StJackson, MI 49201"
5,"Sold - Jun 16, 2023","$65,000",2bed,1bath,791sqft791 square feet,0.34acre lot0.34 acre lot,"3230 Gregory RdJackson, MI 49202"
6,"Sold - Sep 25, 2023","$72,500$14k",3bed,1.5bath,"1,340sqft1,340 square feet","7,841sqft lot7,841 square foot lot","316 4th StJackson, MI 49201"
7,"Sold - Sep 15, 2023","$150,000",3bed,2bath,"1,277sqft1,277 square feet",0.31acre lot0.31 acre lot,"909 W Ganson StJackson, MI 49202"
8,"Sold - Sep 8, 2023","$98,000",3bed,1.5bath,"1,344sqft1,344 square feet","3,485sqft lot3,485 square foot lot","803 First StJackson, MI 49203"
9,"Sold - Jun 14, 2023","$280,000",3bed,2bath,"1,580sqft1,580 square feet",0.41acre lot0.41 acre lot,"6963 Paddock LnJackson, MI 49201"
10,"Sold - Oct 6, 2023","$329,188",3bed,2.5bath,"1,756sqft1,756 square feet","3,170sqft lot3,170 square foot lot","794 N Stone RdJackson, MI 49201"
11,"Sold - Sep 19, 2023","$74,000",3bed,1.5bath,"1,120sqft1,120 square feet","7,405sqft lot7,405 square foot lot","2919 Francis StJackson, MI 49203"
12,"Sold - Jul 14, 2023","$235,500",3bed,1.5bath,"2,160sqft2,160 square feet",0.3acre lot0.3 acre lot,"1209 S Brown StJackson, MI 49203"
13,"Sold - Nov 21, 2023","$99,900",4bed,2bath,"1,432sqft1,432 square feet","4,356sqft lot4,356 square foot lot","604 Edgewood StJackson, MI 49202"
14,"Sold - Jul 13, 2023","$65,000",,,,0.28acre lot0.28 acre lot,"1035 Maple AveJackson, MI 49203"
15,"Sold - Sep 13, 2023","$99,000$8k",2bed,1bath,796sqft796 square feet,"8,276sqft lot8,276 square foot lot","326 Kenneth StJackson, MI 49203"
16,"Sold - Aug 15, 2023","$116,600",4bed,2.5bath,"1,476sqft1,476 square feet","6,490sqft lot6,490 square foot lot","1402 N Blackstone StJackson, MI 49202"
17,"Sold - Aug 31, 2023","$171,000",2bed,1.5bath,"1,189sqft1,189 square feet","5,663sqft lot5,663 square foot lot","803 S Grinnell StJackson, MI 49203"
18,"Sold - Jul 7, 2023","$390,000",4bed,2.5+bath,"3,477sqft3,477 square feet",0.41acre lot0.41 acre lot,"4569 Sid DrJackson, MI 49201"
19,"Sold - Sep 7, 2023","$205,325$10k",3bed,2bath,"1,456sqft1,456 square feet",1.93acre lot1.93 acre lot,"7721 Lansing AveJackson, MI 49201"
20,"Sold - Oct 30, 2023","$104,900",2bed,1.5bath,"1,130sqft1,130 square feet",,"1960 Westbrook DrJackson, MI 49201"
21,"Sold - Nov 28, 2023","$154,000",2bed,1bath,800sqft800 square feet,0.24acre lot0.24 acre lot,"163 Peacock WalkJackson, MI 49202"
22,"Sold - Nov 28, 2023","$235,000",4bed,2.5+bath,"2,898sqft2,898 square feet","8,712sqft lot8,712 square foot lot","301 S Brown StJackson, MI 49203"
